time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-06T16:47:09.170Z,27.8701,-88.6849,10,4.5,mb,,71,2.681,0.77,us,us1000dzed,2018-05-06T18:09:01.719Z,"182km SSE of Buras-Triumph, Louisiana",earthquake,6.7,1.9,0.042,167,reviewed,us,us
2018-05-06T16:29:21.360Z,40.5999985,-125.1266632,-0.08,3.21,ml,57,261,0.6142,0.23,nc,nc73012146,2018-05-06T17:16:01.052Z,"73km W of Ferndale, CA",earthquake,1.84,5.81,0.111,10,automatic,nc,nc
2018-05-06T15:37:53.250Z,19.1916676,-155.4364929,0.61,3.29,ml,18,158,0.04344,0.25,hv,hv70124101,2018-05-06T17:38:45.000Z,"4km ESE of Pahala, Hawaii",earthquake,1.03,0.61,0.41,15,automatic,hv,hv
2018-05-06T15:02:11.070Z,13.3033,-88.0037,10,4.4,mb,,146,1.032,1.11,us,us1000dzd2,2018-05-06T18:11:30.040Z,"12km NNE of Intipuca, El Salvador",earthquake,5.4,1.9,0.095,32,reviewed,us,us
2018-05-06T14:58:19.360Z,56.1685,-150.2342,34.8,3.1,ml,,,,0.62,ak,ak19335420,2018-05-06T15:03:46.620Z,"223km SE of Kodiak, Alaska",earthquake,,4,,,automatic,ak,ak
2018-05-06T14:57:39.320Z,-7.0251,129.7263,117.83,4.8,mww,,30,1.826,0.81,us,us1000dzcy,2018-05-06T16:36:25.040Z,"203km WNW of Saumlaki, Indonesia",earthquake,6.7,3.4,0.071,19,reviewed,us,us
2018-05-06T14:54:02.870Z,44.7503333,-110.966,11.86,3.06,ml,29,35,0.02999,0.22,uu,uu60280577,2018-05-06T17:51:07.643Z,"14km NE of West Yellowstone, Montana",earthquake,0.4,0.53,0.227,10,reviewed,uu,uu
2018-05-06T14:52:54.090Z,13.2037,-88.1154,10,4.8,mb,,131,1.154,0.94,us,us1000dzcv,2018-05-06T18:10:46.557Z,"3km SE of Chirilagua, El Salvador",earthquake,5.8,1.9,0.028,399,reviewed,us,us
2018-05-06T14:52:02.720Z,19.3988342,-154.8828278,4.21,2.75,ml,28,275,0.06583,0.38,hv,hv70124001,2018-05-06T14:57:37.650Z,"8km SSE of Leilani Estates, Hawaii",earthquake,1.1,1.05,5.43,3,automatic,hv,hv
2018-05-06T14:44:20.400Z,-54.4562,-133.4116,10,5.1,mb,,69,31.179,0.7,us,us1000dzcw,2018-05-06T16:02:51.040Z,"Pacific-Antarctic Ridge",earthquake,14.4,1.8,0.079,52,reviewed,us,us
2018-05-06T14:41:05.170Z,19.3689995,-155.2466736,-0.32,2.62,ml,36,84,0.007311,0.36,hv,hv70123971,2018-05-06T14:46:42.600Z,"6km S of Volcano, Hawaii",earthquake,0.29,0.32,0.36,16,automatic,hv,hv
2018-05-06T14:37:50.620Z,13.2519,-87.9776,10,4.3,mb,,148,1.053,0.86,us,us1000dzch,2018-05-06T17:13:55.109Z,"10km NE of Intipuca, El Salvador",earthquake,5.7,1.9,0.169,10,reviewed,us,us
2018-05-06T13:37:26.940Z,24.6354,96.0169,44.76,4.6,mb,,110,1.616,0.68,us,us1000dzbl,2018-05-06T14:12:05.040Z,"129km WNW of Bhamo, Burma",earthquake,8.2,7.3,0.082,44,reviewed,us,us
2018-05-06T13:28:54.800Z,19.4051666,-155.2818298,0.3,2.56,ml,14,57,0.006884,0.1,hv,hv70123776,2018-05-06T13:34:31.870Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.36,0.21,6,automatic,hv,hv
2018-05-06T13:26:07.580Z,19.0781667,-155.1876667,12.65,4.28,ml,22,269,0.205,0.11,hv,hv70123771,2018-05-06T17:30:30.782Z,"33km ESE of Pahala, Hawaii",earthquake,1.58,3.79,0.175,44,reviewed,hv,hv
2018-05-06T12:44:28.540Z,13.2824,-87.9446,10,5.2,mww,,81,1.009,1.22,us,us1000dzau,2018-05-06T15:33:35.580Z,"9km WSW of Conchagua, El Salvador",earthquake,3.2,1.7,0.071,19,reviewed,us,us
2018-05-06T12:37:58.960Z,13.2086,-88.0141,10,5.2,mww,,130,1.069,0.97,us,us1000dzap,2018-05-06T15:55:20.899Z,"4km ENE of Intipuca, El Salvador",earthquake,4.7,1.3,0.069,20,reviewed,us,us
2018-05-06T12:26:31.440Z,19.3129997,-155.2624969,-0.48,2.58,ml,38,99,0.04287,0.26,hv,hv70123626,2018-05-06T12:32:08.020Z,"13km S of Volcano, Hawaii",earthquake,0.39,0.22,2.95,19,automatic,hv,hv
2018-05-06T12:24:45.000Z,19.3150005,-155.2111664,3.05,2.95,ml,10,114,0.03592,0.18,hv,hv70123606,2018-05-06T12:30:20.300Z,"13km SSE of Volcano, Hawaii",earthquake,0.82,1.76,0.22,5,automatic,hv,hv
2018-05-06T12:00:21.210Z,19.3111668,-154.9008331,-0.51,2.63,ml,33,270,0.1562,0.29,hv,hv70123536,2018-05-06T12:05:58.220Z,"17km S of Leilani Estates, Hawaii",earthquake,2.24,0.65,3.49,7,automatic,hv,hv
2018-05-06T11:23:06.770Z,19.2211666,-155.3326721,1.64,2.83,ml,8,245,0.06337,0.15,hv,hv70123431,2018-05-06T11:28:46.540Z,"15km E of Pahala, Hawaii",earthquake,1.84,1.98,0.44,4,automatic,hv,hv
2018-05-06T10:59:48.450Z,19.3875008,-154.9373322,4.84,2.46,ml,27,266,0.07821,0.32,hv,hv70123381,2018-05-06T11:05:25.650Z,"9km SSW of Leilani Estates, Hawaii",earthquake,1.5,1.07,4.69,4,automatic,hv,hv
2018-05-06T10:48:34.310Z,19.4349995,-155.3430023,2.08,2.47,ml,13,103,0.04678,0.2,hv,hv70123336,2018-05-06T10:54:13.310Z,"11km W of Volcano, Hawaii",earthquake,0.56,1.34,0.76,3,automatic,hv,hv
2018-05-06T10:02:00.470Z,19.2716675,-155.1038361,11.02,2.78,ml,8,208,0.2732,0.31,hv,hv70123231,2018-05-06T10:07:37.350Z,"22km SE of Volcano, Hawaii",earthquake,2.39,1.55,5.67,3,automatic,hv,hv
2018-05-06T09:47:47.440Z,19.447,-154.9005,3.62,2.54,ml,5,245,0.01903,0.09,hv,hv70123196,2018-05-06T14:17:42.531Z,"2km SE of Leilani Estates, Hawaii",earthquake,1.73,0.61,0.208,15,reviewed,hv,hv
2018-05-06T09:23:38.450Z,34.5583,96.5257,14.66,5,mb,,45,9.829,0.73,us,us1000dz95,2018-05-06T09:39:56.040Z,"178km NNW of Gyegu, China",earthquake,8.2,4.3,0.047,142,reviewed,us,us
2018-05-06T08:14:56.470Z,19.3178329,-155.1968384,0.65,2.54,ml,48,117,0.05838,0.25,hv,hv70122956,2018-05-06T08:20:34.140Z,"13km SSE of Volcano, Hawaii",earthquake,0.37,0.4,2,22,automatic,hv,hv
2018-05-06T07:17:07.890Z,19.441,-154.8765,2.88,2.67,ml,5,283,0.04071,0.08,hv,hv70122806,2018-05-06T14:55:28.110Z,"5km SE of Leilani Estates, Hawaii",earthquake,2.32,0.89,0.19,19,reviewed,hv,hv
2018-05-06T07:09:49.170Z,38.8274994,-122.7913361,1.35,2.55,md,39,33,0.01092,0.04,nc,nc73011921,2018-05-06T15:23:16.616Z,"6km W of Cobb, CA",earthquake,0.14,0.21,0.19,16,automatic,nc,nc
2018-05-06T07:07:26.070Z,14.4106,-91.7952,80.73,4,mb,,172,0.149,0.87,us,us1000dz83,2018-05-06T15:10:05.547Z,"17km NE of Champerico, Guatemala",earthquake,10,15.5,0.074,49,reviewed,us,us
2018-05-06T07:06:19.180Z,45.344,79.894,15.42,4.4,mb,,91,2.06,0.63,us,us1000dz9d,2018-05-06T10:24:27.040Z,"7km SSW of Sarkand, Kazakhstan",earthquake,6.1,5.5,0.219,6,reviewed,us,us
2018-05-06T07:00:45.630Z,18.9912,145.7857,138.23,4.9,mb,,39,3.729,0.92,us,us1000dz7x,2018-05-06T07:18:00.040Z,"27km NNE of Agrihan, Northern Mariana Islands",earthquake,9.4,7.2,0.034,278,reviewed,us,us
2018-05-06T06:21:53.741Z,61.6313,-151.9782,102.6,2.5,ml,,,,0.53,ak,ak19331809,2018-05-06T06:31:05.890Z,"103km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-05-06T06:16:44.180Z,19.4619999,-155.1323395,4.01,2.5,ml,13,249,0.07195,0.29,hv,hv70122626,2018-05-06T14:19:10.201Z,"7km SW of Fern Acres, Hawaii",earthquake,1.85,21.57,0.29,10,automatic,hv,hv
2018-05-06T06:16:19.400Z,19.2008343,-155.3170013,-0.43,2.63,ml,20,190,0.08436,0.35,hv,hv70122621,2018-05-06T06:21:54.860Z,"17km E of Pahala, Hawaii",earthquake,1.33,0.41,0.26,10,automatic,hv,hv
2018-05-06T06:15:03.430Z,19.3168335,-155.1331635,4.86,2.98,ml,11,158,0.03105,0.14,hv,hv70122611,2018-05-06T14:18:06.377Z,"16km SE of Volcano, Hawaii",earthquake,0.55,1.09,0.36,6,automatic,hv,hv
2018-05-06T06:09:52.100Z,19.1700001,-155.2518311,-0.43,2.96,ml,49,204,0.1136,0.32,hv,hv70122601,2018-05-06T14:12:33.957Z,"24km E of Pahala, Hawaii",earthquake,1.54,0.56,2.64,34,automatic,hv,hv
2018-05-06T06:07:24.820Z,19.2143326,-155.3301697,-0.74,2.79,ml,34,194,0.06767,0.39,hv,hv70122596,2018-05-06T06:13:00.250Z,"15km E of Pahala, Hawaii",earthquake,1.09,0.33,2.75,21,automatic,hv,hv
2018-05-06T06:07:03.040Z,19.2143326,-155.3365021,-0.56,2.67,ml,33,165,0.06208,0.38,hv,hv70122591,2018-05-06T06:12:38.060Z,"15km E of Pahala, Hawaii",earthquake,0.97,0.42,2.97,26,automatic,hv,hv
2018-05-06T06:03:59.680Z,31.4441,140.2048,10,5.3,mww,,106,1.698,0.79,us,us1000dz72,2018-05-06T06:24:17.505Z,"185km SSE of Hachijo-jima, Japan",earthquake,7.2,1.9,0.071,19,reviewed,us,us
2018-05-06T05:57:35.140Z,19.4178333,-155.2293396,1.28,2.7,ml,35,61,0.008892,0.16,hv,hv70122571,2018-05-06T06:03:11.110Z,"1km SSE of Volcano, Hawaii",earthquake,0.23,0.35,1.97,23,automatic,hv,hv
2018-05-06T05:51:06.740Z,19.425,-155.2101667,-0.63,3.76,ml,44,64,0.02833,0.12,hv,hv70122561,2018-05-06T09:45:38.059Z,"1km WSW of Ainaloa, Hawaii",earthquake,0.16,0.18,0.179,26,reviewed,hv,hv
2018-05-06T05:44:29.010Z,19.114666,-155.225174,-0.24,3.18,ml,50,235,0.1657,0.31,hv,hv70122546,2018-05-06T13:47:01.555Z,"28km ESE of Pahala, Hawaii",earthquake,1.37,0.42,2.2,35,automatic,hv,hv
2018-05-06T05:43:45.210Z,19.3416672,-155.1011658,1.29,2.68,ml,13,184,0.04869,0.19,hv,hv70122541,2018-05-06T13:46:16.875Z,"17km SE of Volcano, Hawaii",earthquake,1.2,1,3.94,5,automatic,hv,hv
